"Scenario";"TotalCost";"TotalCostPerVeh";"CostPerVehKM";"CostPerSeatKM";"CostPerPassKM";"PricePerPassKM";"overhead";"salaries";"deprecation";"maintenance";"cleaning";"tires";"fuel";"other_var";"interest";"insurance";"tax";"parking";"other_fix";"acquisition"
"E-S04";1527608.43563471;763.804217817354;3.25795610967507;3.25795610967507;3.74477713755755;4.18786921067352;0.117667131451836;3.43195800067855;0;0.031529374201788;0.0368464836681827;0.0159642401021711;0.0303320561941252;0;0.00097330358196301;0.00323149354170124;0;0.0434946601891673;0.000497152852569422;0.0322832410955016
"E-S05-RS";1186299.85828412;790.866572189416;3.37338878301196;0.843347195752991;1.60638863977759;1.79646085141613;0.048748206980012;1.42182270358368;0;0.0391868257662458;0.0152650956148908;0.00661381025590647;0.0167549859816297;0;0.00108561664645227;0.00267754493683574;0;0.0180193625124167;0.000205964995141211;0.0360085225043797
"E-S05-Taxi";1186299.85828412;790.866572189416;3.37338878301196;0.843347195752991;2.72149112286132;3.04350525061842;0.0825876187532532;2.40880554696988;0;0.066389039249379;0.0258616259956286;0.0112049011391357;0.0283857495524771;0;0.0018392162350945;0.00453620910670136;0;0.030527814940195;0.000348939162053951;0.0610044617575165
"E-S06-RS";831753.742454373;831.753742454373;3.5477902893989;0.443473786174863;1.68943764973189;1.88933644293701;0.048748206980012;1.42182270358368;0;0.0783736515324916;0.0152650956148908;0.00661381025590647;0.0272268522201483;0;0.00204716281902427;0.00321305392420289;0;0.0180193625124167;0.000205964995141211;0.0679017852939731
"E-S07";459027.06477987;918.05412955974;1.94996848807855;0.0974984244039275;0.471154697896228;0.526902985225638;0.0123170436093264;0.341284750008418;0;0.0430808132372181;0.00385697977499439;0.00335585692208125;0.0212537605065146;0;0.00110168692380309;0.00094713663772378;0;0.00455289102158567;0.00286222610301142;0.0365415531515514
"E-S08";1554751.7531478;777.375876573898;2.07368941995821;2.07368941995821;2.59211177494776;2.89881739130895;0.0800265154521198;2.33410670068683;0;0.0342881944444444;0.0250596377955817;0.0173611111111111;0.0329861111111111;0;0.00105846764538477;0.00219776894921785;0;0.0295811247607225;0.000338118299879669;0.035108024691358
"E-S09-RS";1230380.96001074;820.253973340495;2.18806890907319;0.547017227268299;1.13208965325514;1.26604153690211;0.0331240720084201;0.966118766912254;0;0.0425770614426923;0.0103725276823082;0.00718600193125608;0.0182045382258487;0;0.00117953842280898;0.00181937340443913;0;0.0122440331323745;0.000139951800341471;0.0391237882923942
"E-S09-Taxi";1230380.96001074;820.253973340495;2.18806890907319;0.547017227268299;1.92057467282369;2.14782221843077;0.0561945368701488;1.63900732537934;0;0.0722314046550727;0.0175968518946564;0.0121909543721642;0.0308837510761492;0;0.00200107086391573;0.0030865421929506;0;0.0207718353927512;0.000237426322534662;0.0663729738040049
"E-S10-RS";885474.943558398;885.474943558398;2.36204914177137;0.295256142721421;1.22210565800334;1.36670847672398;0.0331240720084201;0.966118766912254;0;0.0851541228853845;0.0103725276823082;0.00718600193125608;0.0295823746170042;0;0.00222427245443978;0.00218324808532695;0;0.0122440331323745;0.000139951800341471;0.0737762864942291
"E-S11";455617.233987213;911.234467974425;2.43076397439532;0.121538198719766;1.25765817223914;1.40646765978374;0.0331240720084201;0.966118766912254;0;0.0922502997924999;0.0103725276823082;0.00718600193125608;0.0455113455646218;0;0.00235907684561795;0.00254712276621478;0;0.0122440331323745;0.00769734901878093;0.0782475765847884
